id,checkpoint_path,logit_cosine,prob_cosine,inverse_kl,symmetric_inverse_kl,top1_agreement,top5_overlap,margin_similarity,confidence_similarity,same_correct,same_wrong,confidence_corr,target_acc,suspect_acc,acc_similarity,load_error
26,suspect_models\suspect_026.safetensors,0.9392219264857471,0.9891316430348903,0.8956153480321168,0.8942839193992317,0.98785,0.7002200140424073,0.41069355056453494,0.9562398313581943,0.987725,0.000125,0.43146810301279304,0.999675,0.987875,0.9883376161296699,
27,suspect_models\suspect_027.safetensors,0.5954099186467938,0.6255274994306917,0.5644203038550913,0.5475067815575748,0.569525,0.5221950126715005,0.18049475609762594,0.64476957706213,0.569325,0.0002,0.13152008894973224,0.9995,0.569375,0.6992395769600559,
28,suspect_models\suspect_028.safetensors,0.9824294347956777,0.9986954848734196,0.9486688169114291,0.9494230738133193,0.998575,0.797705011240393,0.521149836310558,0.9859111740425229,0.998325,0.00025,0.5913024750169397,0.999625,0.99845,0.9988263790046696,
29,suspect_models\suspect_029.safetensors,0.9291923195980489,0.9855428002205794,0.8808444857828319,0.878465294842422,0.983675,0.6828550141945481,0.38821778523139655,0.947086549192667,0.9834,0.000275,0.4024137014061615,0.99965,0.983475,0.98408246611066,
30,suspect_models\suspect_030.safetensors,0.9198926477879286,0.9994934903688729,0.9348751652523876,0.934715692589432,0.99935,0.6349600147120654,0.5173350475691258,0.9893913302153349,0.99925,0.0001,0.5370017112796586,0.999475,0.99965,0.9998250306196416,
31,suspect_models\suspect_031.safetensors,0.9102659534960985,0.9995527317762375,0.9179593090735376,0.9198921674855054,0.9996,0.6198600147802382,0.4904061472510919,0.9896236161127686,0.9995,0.0001,0.21285830579407955,0.999525,0.999875,0.9996501224571399,
32,suspect_models\suspect_032.safetensors,0.788698941110773,0.8959565384539526,0.8137353322263807,0.8079394551895559,0.882075,0.5964850143007934,0.33546716357339174,0.8825193229615689,0.88185,0.000225,0.20740550582734743,0.99955,0.88205,0.8948545861297538,
33,suspect_models\suspect_033.safetensors,0.7111379334046971,0.7030748000565471,0.6717895499281585,0.6754355988811701,0.6669,0.5281700126823038,0.2770447402420454,0.7348500096410513,0.66675,0.00015,0.13674764066563208,0.99955,0.66685,0.7503564192991671,
34,suspect_models\suspect_034.safetensors,0.9602700470238924,0.9954237601917237,0.9178147493517026,0.9199831166326999,0.994675,0.7415450131461024,0.46426946650454776,0.975608231164515,0.99435,0.000325,0.4741524732657142,0.999425,0.994525,0.995123892924669,
35,suspect_models\suspect_035.safetensors,0.9964411031931639,0.9999071217656136,0.9872967015966773,0.9874671557471156,0.999725,0.898285006030649,0.6860394060660153,0.9955332569792866,0.999375,0.00035,0.927645859280081,0.999575,0.99945,0.9998750156230469,
