id,checkpoint_path,logit_cosine,prob_cosine,inverse_kl,symmetric_inverse_kl,top1_agreement,top5_overlap,margin_similarity,confidence_similarity,same_correct,same_wrong,confidence_corr,target_acc,suspect_acc,acc_similarity,load_error
146,suspect_models\suspect_146.safetensors,0.8426848550761119,0.8021801052986484,0.5781475358694792,0.5903864688370377,0.7815,0.6540550142392516,0.182989131382294,0.6160489307373762,0.78145,5e-05,0.20830889956621745,0.999875,0.781475,0.8207485226526593,
147,suspect_models\suspect_147.safetensors,0.6461722686393186,0.5565041030186165,0.44342551736943425,0.4715570504475385,0.500525,0.5014300119891762,0.14162036338141187,0.37915121617913244,0.500475,5e-05,0.10728800917584763,0.999875,0.5005,0.6669445602334305,
148,suspect_models\suspect_148.safetensors,0.993422794483602,0.9999963256284594,0.993698620082438,0.9938392010197044,0.99995,0.8830250069335103,0.7357237110823392,0.9986966932401061,0.99985,0.0001,0.9536482855426115,0.999875,0.999875,1.0,
149,suspect_models\suspect_149.safetensors,0.5653372529961169,0.641653498268568,0.5302195306714624,0.5102539030581713,0.588575,0.4958650117393583,0.1546961970584467,0.6078506954655051,0.588525,5e-05,0.12819738602657113,0.999875,0.588525,0.708541467389379,
150,suspect_models\suspect_150.safetensors,0.5219994885712862,0.5448894328781524,0.5231275704927743,0.5212457596346736,0.49775,0.4115850097708404,0.18145364277837797,0.6203883904024958,0.49775,0.0,0.10768243012282566,0.999875,0.497775,0.6657346381732242,
151,suspect_models\suspect_151.safetensors,0.8086974887198769,0.8010300487357599,0.5849773530151695,0.5953563387099653,0.77665,0.6187650143388659,0.1909036316325888,0.6164701935172081,0.7766,5e-05,0.178789373243126,0.999875,0.776625,0.8174943797261394,
152,suspect_models\suspect_152.safetensors,0.7776606491350103,0.8991614997001103,0.8033611824791879,0.7967312964074313,0.886475,0.5844050142668188,0.3224280758820474,0.8867755052402616,0.886425,5e-05,0.14096856752483358,0.999875,0.886475,0.8981498113885397,
153,suspect_models\suspect_153.safetensors,0.9667612582176923,0.9984347146381624,0.9259016351290047,0.9247549508877099,0.9986,0.747660013031587,0.4509597827995196,0.9810029590696097,0.9985,0.0001,0.28644256191126016,0.999875,0.998525,0.9986518200429421,
154,suspect_models\suspect_154.safetensors,0.9999999727606773,0.9999999999672174,0.9999999399483204,0.9999999359965325,1.0,0.9996550000205636,0.9985626909002662,0.9999949006587266,0.999875,0.000125,0.9999992002772587,0.999875,0.999875,1.0,
155,suspect_models\suspect_155.safetensors,0.5907362518248614,0.6069436897262909,0.45390914342068134,0.4725997258055955,0.5608,0.4603950109228492,0.13590722294272856,0.40997645465135574,0.56075,5e-05,0.12235696949615636,0.999875,0.560775,0.6948787436592315,
156,suspect_models\suspect_156.safetensors,0.8251043759070337,0.7779532952485475,0.5625968778308481,0.5761332059245556,0.751775,0.6410750141654163,0.17661877737790346,0.590511641599238,0.7517,7.5e-05,0.19539247560351858,0.999875,0.75175,0.8012018027040562,
157,suspect_models\suspect_157.safetensors,0.6511908172765747,0.7907690878319361,0.6139723179083317,0.6015709031585604,0.75685,0.526655012640357,0.22266888261884452,0.7961322908356786,0.75675,0.0001,0.12209675049310066,0.999875,0.75675,0.8044243338360986,
158,suspect_models\suspect_158.safetensors,0.800117945073545,0.7771853738435021,0.5932951369356364,0.6033896793019027,0.748775,0.6107350140534341,0.19987576093375684,0.6360439222067594,0.7487,7.5e-05,0.1703352059577811,0.999875,0.748725,0.7992646764976222,
